## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[sample1.sorted.bam] OUTPUT=sample1.marked_duplicates.bam METRICS_FILE=sample1.marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jul 31 23:35:16 IST 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	549	42007220	269826	13101	263	1469	0	0.000038	600600904731

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	42004339	42004339
2.0	1.99993	1362	1362
3.0	2.99979	44	44
4.0	3.99958	5	5
5.0	4.999301	1	1
6.0	5.998951	0	0
7.0	6.998531	0	0
8.0	7.998042	0	0
9.0	8.997483	0	0
10.0	9.996853	0	0
11.0	10.996154	0	0
12.0	11.995385	0	0
13.0	12.994546	0	0
14.0	13.993637	0	0
15.0	14.992659	0	0
16.0	15.99161	0	0
17.0	16.990492	0	0
18.0	17.989303	0	0
19.0	18.988045	0	0
20.0	19.986717	0	0
21.0	20.985319	0	0
22.0	21.983851	0	0
23.0	22.982314	0	0
24.0	23.980707	0	0
25.0	24.979029	0	0
26.0	25.977282	0	0
27.0	26.975466	0	0
28.0	27.973579	0	0
29.0	28.971622	0	0
30.0	29.969596	0	0
31.0	30.9675	0	0
32.0	31.965334	0	0
33.0	32.963099	0	0
34.0	33.960793	0	0
35.0	34.958418	0	0
36.0	35.955973	0	0
37.0	36.953458	0	0
38.0	37.950874	0	0
39.0	38.948219	0	0
40.0	39.945495	0	0
41.0	40.942702	0	0
42.0	41.939838	0	0
43.0	42.936905	0	0
44.0	43.933902	0	0
45.0	44.930829	0	0
46.0	45.927687	0	0
47.0	46.924475	0	0
48.0	47.921193	0	0
49.0	48.917841	0	0
50.0	49.91442	0	0
51.0	50.910929	0	0
52.0	51.907368	0	0
53.0	52.903738	0	0
54.0	53.900038	0	0
55.0	54.896268	0	0
56.0	55.892429	0	0
57.0	56.888519	0	0
58.0	57.884541	0	0
59.0	58.880492	0	0
60.0	59.876374	0	0
61.0	60.872187	0	0
62.0	61.867929	0	0
63.0	62.863602	0	0
64.0	63.859205	0	0
65.0	64.854739	0	0
66.0	65.850203	0	0
67.0	66.845598	0	0
68.0	67.840923	0	0
69.0	68.836178	0	0
70.0	69.831363	0	0
71.0	70.826479	0	0
72.0	71.821526	0	0
73.0	72.816503	0	0
74.0	73.81141	0	0
75.0	74.806248	0	0
76.0	75.801016	0	0
77.0	76.795714	0	0
78.0	77.790343	0	0
79.0	78.784903	0	0
80.0	79.779392	0	0
81.0	80.773813	0	0
82.0	81.768163	0	0
83.0	82.762445	0	0
84.0	83.756656	0	0
85.0	84.750798	0	0
86.0	85.744871	0	0
87.0	86.738874	0	0
88.0	87.732807	0	0
89.0	88.726671	0	0
90.0	89.720466	0	0
91.0	90.714191	0	0
92.0	91.707846	0	0
93.0	92.701432	0	0
94.0	93.694949	0	0
95.0	94.688396	0	0
96.0	95.681773	0	0
97.0	96.675082	0	0
98.0	97.66832	0	0
99.0	98.661489	0	0
100.0	99.654589	0	0

